ProductKey,ProductAlternateKey,EnglishProductName,ProductSubcategoryKey,Product Status
483,RA-H123,Hitch Rack - 4-Bike,26,Current
484,CL-9009,Bike Wash - Dissolver,29,Current
485,FE-6654,Fender Set - Mountain,30,Current
486,ST-1401,All-Purpose Bike Stand,27,Current
487,HY-1023-70,Hydration Pack - 70 oz.,32,Current
488,SJ-0194-S,"Short-Sleeve Classic Jersey, S",21,Current
489,SJ-0194-M,"Short-Sleeve Classic Jersey, M",21,Current
490,SJ-0194-L,"Short-Sleeve Classic Jersey, L",21,Current
491,SJ-0194-X,"Short-Sleeve Classic Jersey, XL",21,Current
492,FR-T98Y-60,"HL Touring Frame - Yellow, 60",16,Current
493,FR-T67Y-62,"LL Touring Frame - Yellow, 62",16,Current
494,FR-T98Y-46,"HL Touring Frame - Yellow, 46",16,Current
495,FR-T98Y-50,"HL Touring Frame - Yellow, 50",16,Current
496,FR-T98Y-54,"HL Touring Frame - Yellow, 54",16,Current
497,FR-T98U-46,"HL Touring Frame - Blue, 46",16,Current
498,FR-T98U-50,"HL Touring Frame - Blue, 50",16,Current
499,FR-T98U-54,"HL Touring Frame - Blue, 54",16,Current
500,FR-T98U-60,"HL Touring Frame - Blue, 60",16,Current
501,RD-2308,Rear Derailleur,9,Current
502,FR-T67U-50,"LL Touring Frame - Blue, 50",16,Current
503,FR-T67U-54,"LL Touring Frame - Blue, 54",16,Current
504,FR-T67U-58,"LL Touring Frame - Blue, 58",16,Current
505,FR-T67U-62,"LL Touring Frame - Blue, 62",16,Current
506,FR-T67Y-44,"LL Touring Frame - Yellow, 44",16,Current
507,FR-T67Y-50,"LL Touring Frame - Yellow, 50",16,Current
508,FR-T67Y-54,"LL Touring Frame - Yellow, 54",16,Current
509,FR-T67Y-58,"LL Touring Frame - Yellow, 58",16,Current
510,FR-T67U-44,"LL Touring Frame - Blue, 44",16,Current
511,FR-M63S-40,"ML Mountain Frame-W - Silver, 40",12,Current
512,FR-M63S-42,"ML Mountain Frame-W - Silver, 42",12,Current
513,FR-M63S-46,"ML Mountain Frame-W - Silver, 46",12,Current
514,RB-9231,Rear Brakes,6,Current
515,SE-M236,LL Mountain Seat/Saddle,15,Current
516,SE-M798,ML Mountain Seat/Saddle,15,Current
517,SE-M940,HL Mountain Seat/Saddle,15,Current
518,SE-R581,LL Road Seat/Saddle,15,Current
519,SE-R908,ML Road Seat/Saddle,15,Current
520,SE-R995,HL Road Seat/Saddle,15,Current
521,SE-T312,LL Touring Seat/Saddle,15,Current
522,SE-T762,ML Touring Seat/Saddle,15,Current
523,SE-T924,HL Touring Seat/Saddle,15,Current
524,FR-M21S-42,"LL Mountain Frame - Silver, 42",12,Current
525,FR-M21S-44,"LL Mountain Frame - Silver, 44",12,Current
526,FR-M21S-48,"LL Mountain Frame - Silver, 48",12,Current
527,FR-M21S-52,"LL Mountain Frame - Silver, 52",12,Current
528,TT-M928,Mountain Tire Tube,37,Current
529,TT-R982,Road Tire Tube,37,Current
530,TT-T092,Touring Tire Tube,37,Current
531,FR-M21B-42,"LL Mountain Frame - Black, 42",12,Current
532,FR-M21B-44,"LL Mountain Frame - Black, 44",12,Current
533,FR-M21B-48,"LL Mountain Frame - Black, 48",12,Current
534,FR-M21B-52,"LL Mountain Frame - Black, 52",12,Current
535,TI-M267,LL Mountain Tire,37,Current
536,TI-M602,ML Mountain Tire,37,Current
537,TI-M823,HL Mountain Tire,37,Current
538,TI-R092,LL Road Tire,37,Current
539,TI-R628,ML Road Tire,37,Current
540,TI-R982,HL Road Tire,37,Current
541,TI-T723,Touring Tire,37,Current
542,PD-M282,LL Mountain Pedal,13,Current
543,PD-M340,ML Mountain Pedal,13,Current
544,PD-M562,HL Mountain Pedal,13,Current
545,PD-R347,LL Road Pedal,13,Current
546,PD-R563,ML Road Pedal,13,Current
547,PD-R853,HL Road Pedal,13,Current
548,PD-T852,Touring Pedal,13,Current
549,FR-M63S-38,"ML Mountain Frame-W - Silver, 38",12,Current
550,FR-M21B-40,"LL Mountain Frame - Black, 40",12,Current
551,FR-M21S-40,"LL Mountain Frame - Silver, 40",12,Current
552,FD-2342,Front Derailleur,9,Current
553,HB-T721,LL Touring Handlebars,4,Current
554,HB-T928,HL Touring Handlebars,4,Current
555,FB-9873,Front Brakes,6,Current
556,CS-4759,LL Crankset,8,Current
557,CS-6583,ML Crankset,8,Current
558,CS-9183,HL Crankset,8,Current
559,CH-0234,Chain,7,Current
560,BK-T44U-60,"Touring-2000 Blue, 60",3,Current
561,BK-T79Y-46,"Touring-1000 Yellow, 46",3,Current
562,BK-T79Y-50,"Touring-1000 Yellow, 50",3,Current
563,BK-T79Y-54,"Touring-1000 Yellow, 54",3,Current
564,BK-T79Y-60,"Touring-1000 Yellow, 60",3,Current
565,BK-T18U-54,"Touring-3000 Blue, 54",3,Current
566,BK-T18U-58,"Touring-3000 Blue, 58",3,Current
567,BK-T18U-62,"Touring-3000 Blue, 62",3,Current
568,BK-T18Y-44,"Touring-3000 Yellow, 44",3,Current
569,BK-T18Y-50,"Touring-3000 Yellow, 50",3,Current
570,BK-T18Y-54,"Touring-3000 Yellow, 54",3,Current
571,BK-T18Y-58,"Touring-3000 Yellow, 58",3,Current
572,BK-T18Y-62,"Touring-3000 Yellow, 62",3,Current
573,BK-T79U-46,"Touring-1000 Blue, 46",3,Current
574,BK-T79U-50,"Touring-1000 Blue, 50",3,Current
575,BK-T79U-54,"Touring-1000 Blue, 54",3,Current
576,BK-T79U-60,"Touring-1000 Blue, 60",3,Current
577,BK-T44U-46,"Touring-2000 Blue, 46",3,Current
578,BK-T44U-50,"Touring-2000 Blue, 50",3,Current
579,BK-T44U-54,"Touring-2000 Blue, 54",3,Current
580,BK-R79Y-40,"Road-350-W Yellow, 40",2,Current
581,BK-R79Y-42,"Road-350-W Yellow, 42",2,Current
582,BK-R79Y-44,"Road-350-W Yellow, 44",2,Current
583,BK-R79Y-48,"Road-350-W Yellow, 48",2,Current
584,BK-R19B-58,"Road-750 Black, 58",2,Current
585,BK-T18U-44,"Touring-3000 Blue, 44",3,Current
586,BK-T18U-50,"Touring-3000 Blue, 50",3,Current
587,BK-M38S-38,"Mountain-400-W Silver, 38",1,Current
588,BK-M38S-40,"Mountain-400-W Silver, 40",1,Current
589,BK-M38S-42,"Mountain-400-W Silver, 42",1,Current
590,BK-M38S-46,"Mountain-400-W Silver, 46",1,Current
591,BK-M18S-40,"Mountain-500 Silver, 40",1,Current
592,BK-M18S-42,"Mountain-500 Silver, 42",1,Current
593,BK-M18S-44,"Mountain-500 Silver, 44",1,Current
594,BK-M18S-48,"Mountain-500 Silver, 48",1,Current
595,BK-M18S-52,"Mountain-500 Silver, 52",1,Current
596,BK-M18B-40,"Mountain-500 Black, 40",1,Current
597,BK-M18B-42,"Mountain-500 Black, 42",1,Current
598,BK-M18B-44,"Mountain-500 Black, 44",1,Current
599,BK-M18B-48,"Mountain-500 Black, 48",1,Current
600,BK-M18B-52,"Mountain-500 Black, 52",1,Current
601,BB-7421,LL Bottom Bracket,5,Current
602,BB-8107,ML Bottom Bracket,5,Current
603,BB-9108,HL Bottom Bracket,5,Current
604,BK-R19B-44,"Road-750 Black, 44",2,Current
605,BK-R19B-48,"Road-750 Black, 48",2,Current
606,BK-R19B-52,"Road-750 Black, 52",2,Current
